Restaurant,Address,City,State,Category,URL
Mi Piace,25 E Colorado Blvd,Pasadena,CA,Italian,http://www.yelp.com/search?find_desc=mi+piace&find_loc=Pasadena%2C+CA&ns=1&ls=da7f097c889b3bb2 
Odori Sushi,2111 El Camino Real,Palo Alto,CA,Japanese,http://www.yelp.com/search?find_desc=Restaurants&find_loc=Santa+Monica%2C+CA&ns=1#find_desc=Odori+Sushi+and+Teppanyaki&find_loc=Stanford,+CA 
The Misfit Restaurant,225 Santa Monica Blvd,Santa Monica,CA,American,http://www.yelp.com/biz/the-misfit-restaurant-bar-santa-monica 
Musha Restaurant,424 Wilshire Blvd,Santa Monica,CA,Japanese Sushi Bars,http://www.yelp.com/biz/musha-restaurant-santa-monica 
Alcove Cafe and Bakery,1929 Hillhurst Ave,Los Angeles,CA,Bakeries,http://www.yelp.com/biz/alcove-cafe-and-bakery-los-angeles 
Sunny Spot,822 Washington Blvd,Venice,CA,American,http://www.yelp.com/biz/sunny-spot-venice-2
Bottega Louie,700 S Grand Ave,Los Angeles,CA,Italian,http://www.yelp.com/biz/bottega-louie-los-angeles?osq=bottega+restaurant 
Urth Caffe,2327 Main St,Santa Monica,CA,Coffee & Tea,http://www.yelp.com/biz/urth-caffe-santa-monica
Umami Burger,500 Broadway,Santa Monica,CA,Burgers,http://www.yelp.com/biz/umami-burger-santa-monica?osq=umami+burgers 
Faith and Flower,705 W 9th St,Los Angeles,CA,American,http://www.yelp.com/biz/faith-and-flower-los-angeles
